date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:24	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/robots.txt		(from )
13:24:24	7984/7984	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/	D:/meusites2/esp32s2pa4host/10.1.1.1/index.html	(from )
13:24:27	735286/735286	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/Macedo.html	D:/meusites2/esp32s2pa4host/10.1.1.1/Macedo.html	(from http://10.1.1.1/)
13:24:27	821/821	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/admin.html	D:/meusites2/esp32s2pa4host/10.1.1.1/admin.html	(from http://10.1.1.1/)
13:24:38	85856/85856	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/900NA.html	D:/meusites2/esp32s2pa4host/10.1.1.1/900NA.html	(from http://10.1.1.1/)
13:24:38	15354/15354	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/KaroIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/KaroIMG.png	(from http://10.1.1.1/)
13:24:40	327922/327922	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/900Auto.html	D:/meusites2/esp32s2pa4host/10.1.1.1/900Auto.html	(from http://10.1.1.1/)
13:24:42	9659/9659	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/Xhost.html	D:/meusites2/esp32s2pa4host/10.1.1.1/Xhost.html	(from http://10.1.1.1/)
13:24:42	82056/82056	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/Hakkuraifu.html	D:/meusites2/esp32s2pa4host/10.1.1.1/Hakkuraifu.html	(from http://10.1.1.1/)
13:24:46	7976/7976	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/xps3rimentsIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/xps3rimentsIMG.png	(from http://10.1.1.1/)
13:24:46	33512/33512	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/KameleonIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/KameleonIMG.png	(from http://10.1.1.1/)
13:24:48	15029/15029	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/NazkyIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/NazkyIMG.png	(from http://10.1.1.1/)
13:24:48	892697/892697	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/900N.html	D:/meusites2/esp32s2pa4host/10.1.1.1/900N.html	(from http://10.1.1.1/)
13:24:50	17158/17158	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/WolfIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/WolfIMG.png	(from http://10.1.1.1/)
13:24:50	2444/2444	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/Prb.html	D:/meusites2/esp32s2pa4host/10.1.1.1/Prb.html	(from http://10.1.1.1/)
13:24:50	18121/18121	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/PrbIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/PrbIMG.png	(from http://10.1.1.1/)
13:24:53	0/0	---M--	404	error ('Not%20Found')	text/html		http://10.1.1.1/POST	D:/meusites2/esp32s2pa4host/10.1.1.1/POST.11.delayed	(from http://10.1.1.1/Macedo.html)
13:24:53	6074/6074	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/MacedoBG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/MacedoBG.png	(from http://10.1.1.1/Macedo.html)
13:24:53	2919/2919	---M-Z	200	added ('OK')	text/css		http://10.1.1.1/style.css	D:/meusites2/esp32s2pa4host/10.1.1.1/style.css	(from http://10.1.1.1/admin.html)
13:24:54	7984/7984	---M-Z	200	added ('OK')	text/html		http://10.1.1.1/index.html	D:/meusites2/esp32s2pa4host/10.1.1.1/index-2.html	(from http://10.1.1.1/admin.html)
13:24:54	91138/91138	---M-Z	200	added ('OK')	image/png		http://10.1.1.1/MacedoIMG.png	D:/meusites2/esp32s2pa4host/10.1.1.1/MacedoIMG.png	(from http://10.1.1.1/)
